DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:41:06.920,639,0,20210105 02:41:06.920,1.22682,1.22678,1.2268,1.226879,1.226063,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:07.073,640,0,20210105 02:41:07.073,1.2268,1.22677,1.226785,1.226875,1.226063,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:07.175,641,0,20210105 02:41:07.175,1.2268,1.22676,1.22678,1.226871,1.226064,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:07.685,642,0,20210105 02:41:07.685,1.22681,1.22676,1.226785,1.226867,1.226064,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:07.893,643,0,20210105 02:41:07.893,1.22681,1.22677,1.22679,1.226864,1.226064,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:08.001,644,0,20210105 02:41:08.001,1.22683,1.22677,1.2268,1.226861,1.226065,1.226795,,,,,0,,,,,,,,
2021-01-05 02:41:08.153,645,0,20210105 02:41:08.153,1.22683,1.22678,1.226805,1.226858,1.226065,1.226796,,,,,0,,,,,,,,
2021-01-05 02:41:13.437,646,0,20210105 02:41:13.437,1.22682,1.22679,1.226805,1.226855,1.226065,1.226796,,,,,0,,,,,,,,
2021-01-05 02:41:13.538,647,0,20210105 02:41:13.538,1.22682,1.22678,1.2268,1.226852,1.226066,1.226796,,,,,0,,,,,,,,
2021-01-05 02:41:13.965,648,0,20210105 02:41:13.965,1.22681,1.22677,1.22679,1.226849,1.226066,1.226796,,,,,0,,,,,,,,
2021-01-05 02:41:14.741,649,0,20210105 02:41:14.741,1.2268,1.22677,1.226785,1.226846,1.226066,1.226796,,,,,0,,,,,,,,
2021-01-05 02:41:14.850,650,0,20210105 02:41:14.850,1.2268,1.22676,1.22678,1.226843,1.226067,1.226797,,,,,0,,,,,,,,
2021-01-05 02:41:18.364,651,0,20210105 02:41:18.364,1.22681,1.22676,1.226785,1.22684,1.226067,1.226797,,,,,0,,,,,,,,
2021-01-05 02:41:18.565,652,0,20210105 02:41:18.565,1.22681,1.22675,1.22678,1.226837,1.226067,1.226797,,,,,0,,,,,,,,
2021-01-05 02:41:24.133,653,0,20210105 02:41:24.133,1.22681,1.22676,1.226785,1.226834,1.226068,1.226797,,,,,0,,,,,,,,
2021-01-05 02:41:24.235,654,0,20210105 02:41:24.235,1.22683,1.22678,1.226805,1.226832,1.226068,1.226797,,,,,0,,,,,,,,
2021-01-05 02:41:26.989,655,0,20210105 02:41:26.989,1.22682,1.22678,1.2268,1.22683,1.226068,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:28.625,656,0,20210105 02:41:28.625,1.22682,1.22677,1.226795,1.226828,1.226069,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:28.727,657,0,20210105 02:41:28.727,1.22681,1.22676,1.226785,1.226826,1.226069,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:28.829,658,0,20210105 02:41:28.829,1.2268,1.22676,1.22678,1.226823,1.226069,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:35.042,659,0,20210105 02:41:35.042,1.22681,1.22676,1.226785,1.226821,1.22607,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:35.144,660,0,20210105 02:41:35.144,1.2268,1.22676,1.22678,1.226818,1.22607,1.226798,,,,,0,,,,,,,,
2021-01-05 02:41:37.999,661,0,20210105 02:41:37.999,1.22678,1.22676,1.22677,1.226816,1.22607,1.226798,,,1.22677,,0,,,,,,,,
2021-01-05 02:41:38.152,662,0,20210105 02:41:38.152,1.22682,1.2268,1.22681,1.226815,1.226071,1.226799,,,,,0,,,,,,,,
2021-01-05 02:41:38.203,663,0,20210105 02:41:38.203,1.22685,1.22681,1.22683,1.226815,1.226071,1.226799,,,,,0,,,,,,,,
2021-01-05 02:41:38.306,664,0,20210105 02:41:38.306,1.22686,1.22682,1.22684,1.226815,1.226071,1.2268,,1.22684,,,0,,,,,,,,
2021-01-05 02:41:38.666,665,0,20210105 02:41:38.666,1.22684,1.22681,1.226825,1.226815,1.226072,1.2268,,,,,0,,,,,,,,
