ERROR:root:--- Timestamp-2021-04-20 14:54:31.665218, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:32.263144, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:32.715753, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:33.942279, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:34.389519, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:35.591634, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:35.990633, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:36.363743, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:36.885464, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:37.254071, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:37.773810, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:38.314728, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:39.556763, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:40.089780, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:40.517049, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:40.952402, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:41.295439, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:41.792717, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:42.329873, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:42.892597, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:43.431622, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:43.920485, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:44.531447, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:45.133930, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:46.373542, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:46.887481, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:47.209665, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:47.706838, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:48.229354, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:48.766943, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:49.276578, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:49.819460, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:50.187213, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:50.732628, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:51.066758, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:51.588619, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:51.967672, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:52.298734, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:53.598039, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:53.994011, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:54.461238, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:54.831866, Error-'candle_avg_height'
